   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     41        1        -12.82        -36.68       -687.28
     40        1          8.45        -30.66       -663.12
     39        1         28.25        -24.86       -605.76
     38        1         47.95        -16.25       -513.36
     37        1         61.89         -8.65       -397.69
     36        1         80.11          0.18       -279.55
     35        1         84.07          8.35       -129.28
     34        1         84.09         16.41         24.31
     33        1         76.72         23.16        172.62
     32        1         65.35         28.46        302.86
     31        1         48.92         32.86        420.99
     30        1         29.22         34.93        508.11
     29        1          7.78         36.55        578.66
     28        1        -15.42         35.30        609.90
     27        1        -36.33         34.08        623.07
     26        1        -56.94         30.04        596.87
     25        1        -71.89         26.47        556.16
     24        1        -85.04         20.59        483.00
     23        1        -90.39         15.40        399.58
     22        1        -92.74          8.73        294.66
     21        1        -86.90          2.80        185.09
     20        1        -77.67         -3.61         67.60
     19        1        -61.81         -9.38        -48.71
     18        1        -43.07        -14.64       -159.21
     17        1        -20.89        -19.49       -263.47
     16        1          2.91        -22.97       -350.09
     15        1         26.00        -26.33       -426.78
     14        1         48.99        -27.73       -477.67
     13        1         67.38        -29.35       -518.06
     12        1         84.38        -28.79       -529.87
     11        1         93.90        -28.68       -531.76
     10        1        101.08        -26.45       -505.82
